id,character,skeletal_element,anatomical_region,character_type,multistate_type,character_designation,character_significance,uberon_ID,description,number_of_states,state_code,notes,Collard and Wood (2000),Dembo et al. (2015),Strait et al. (1997),Strait and Grine (2004)
375,Horizontal distance between TMJ and M2 or M3,Mandible,CR,C,UM,PHY,,UBERON:0001684,The ratio of the distance between the TMJ and M2/M3 relative to bi-foramen ovale breadth. (Short<58; Long>58),2,Long (0); Short (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The ratio of the distance between the TMJ and M2/M3 relative to bi-foramen ovale breadth. (Short<58; Long>58). (Unordered). States: Long (0); Short (1),"This character replaces S&M 56 (distance between M3 and the TMJ). By measuring to the distal margin of M2, it is possible to include KNM-ER 1470. Furthermore, this measurement approximates the load arm of molar bite force during mastication (Grine et al., 1993). Two states are recognized: (0) long (>258 mm), and (1) short (<258 mm). There is slight overlap between taxa across the 58 mm boundary. Regardless, the principal point is that the distance is long in A. boisei and A. robustus, contrary to S&M 56. As reconstructed by Grine et al. (1996), KNM-ER 1470 is on the boundary between long and short, but is considered long because other reconstructions (e.g., Bromage, 1993) would suggest a considerably greater distance. This character was also measured as a ratio of the distance between the TMJ and M2/M 3 relative to bi-foramen ovale breadth, and comparable results were obtained. Pg. 71",
376,Mandibular extramolar sulcus width,Mandible,CR,C,UM,PHY,,UBERON:0001684,The width of the extramolar sulcus. (Narrow<6.5mm; Broad>6.5mm).,1,Broad (0); Narrow (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The width of the extramolar sulcus. (Narrow<6.5mm; Broad>6.5mm). (Unordered). States: Broad (0); Narrow (1),,
377,Retromolar space,Mandible,CR,D,UM,PHY,,UBERON:0001684,The presence of retromolar space.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of retromolar space. (Unordered). States: Absent (0); Present (1),,
378,Retromolar area inclination,Mandible,CR,D,OM,PHY,,UBERON:0001684,The orientation of the retromolar area.,2,Horizontal (0); Inclined (1); Vertical (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of the retromolar area. (Ordered). States: Horizontal (0); Inclined (1); Vertical (2),,
379,Orientation of mandibular premolar row,Mandible,CR,C,UM,PHY,,UBERON:0001684,The orientation of the dental arcade measured as the ratio between the internal bialveolar margin distances at mandibular canine and M2 positions.,3,U shaped (0); Parabolic (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of the dental arcade measured as the ratio between the internal bialveolar margin distances at mandibular canine and M2 positions. (Unordered). States: U shaped (0); Parabolic (1),,"Two states are recognized: (State 0) P3-P4 MD axis is parasagittal, and thus in line with the straight molar rows that are also in, or approximate to, the sagittal plane. A parasagittal premolar row is equivalent to a U-shaped arcade. (State 1) P3-P4 MD axis is obliquely inclined to the sagittal plane. The premolars may be angled to the molars, providing a parabolic arcade, or the entire postcanine tooth row may be divergent, providing a V-shaped arcade. Australopithecus anamensis has been described as having tooth rows that are parallel and close together (Leakey et al., 1995), and White et al. (1981: 457) described Pr. afarensis as having ‘‘tooth rows typically straight..resembles apes.’’ These taxa were therefore assigned state 0. Note differences with Strait and Grine (1999), in which dental arcade shape included upper and lower jaws. In retrospect, mandibles are more diagnostic, and thus this character is missing in A. garhi. Pg. 444"
380,Inferior alveolar margin orientation,Mandible,CR,D,UM,PHY,,UBERON:0001684,The orientation of the inferior alveolar margin.,2,Steep (0); Slowly inclined (1); Parallel (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of the inferior alveolar margin. (Unordered). States: Steep (0); Slowly inclined (1); Parallel (2),,
381,Sulcus intertoralis development,Mandible,CR,D,OM,PHY,,UBERON:0001684,The development of intertoral sulcus.,3,Flatsurface (0); Weak (1); Well defined (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of intertoral sulcus. (Ordered). States: Flatsurface (0); Weak (1); Well defined (2),,
382,Prominentia lateralis relief,Mandible,CR,D,OM,PHY,,UBERON:0001684,The development of lateral prominence.,3,Flatsurface (0); Weak (1); Strong (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of lateral prominence. (Ordered). States: Flatsurface (0); Weak (1); Strong (2),,
383,Prominentia lateralis position,Mandible,CR,D,OM,PHY,,UBERON:0001684,The position of lateral prominence along tooth row.,3,M1-M2 (0); M2-M3 (1); M3 (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of lateral prominence along tooth row. (Ordered). States: M1-M2 (0); M2-M3 (1); M3 (2),,
384,Ramus length,Mandible,CR,D,UM,PHY,,UBERON:0001684,The length of mandibular ramus.,3,Narrow (0); Large (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The length of mandibular ramus. (Unordered). States: Narrow (0); Large (1),,
385,Ramus root anterior position,Mandible,CR,D,OM,PHY,,UBERON:0001684,The position of the origin of the ascending ramus relative to the anteroposterior axis of the mandibular corpus. Anterior origin is where the ramus rises at the M1 level.,2,Posterior (0); Intermediate (1); Anterior (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the origin of the ascending ramus relative to the anteroposterior axis of the mandibular corpus. Anterior origin is where the ramus rises at the M1 level. (Ordered). States: Posterior (0); Intermediate (1); Anterior (2),,
386,Ramus root vertical position,Mandible,CR,D,OM,PHY,,UBERON:0001684,The position of the origin of the ascending ramus relative to the mandibular corpus height.,3,High (0); Intermediate (1); Low (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the origin of the ascending ramus relative to the mandibular corpus height. (Ordered). States: High (0); Intermediate (1); Low (2),,
387,Internal coronoid pillar orientation,Mandible,CR,D,UM,PHY,,UBERON:0001684,The orientation of the ridge that extends inferiorly from the coronoid tip.,3,Vertical (0); Concave (1); Oblique (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of the ridge that extends inferiorly from the coronoid tip. (Unordered). States: Vertical (0); Concave (1); Oblique (2),,
388,Crista ectocondyloidea development on the lateral face of the ramus.,Mandible,CR,D,UM,PHY,,UBERON:0001684,"The development of crista ectocondyloidea, a ridge that extends inferiorly from the condyle tip on the lateral face of the ramus.",3,Weak/absent (0); Clearly defined (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The development of crista ectocondyloidea, a ridge that extends inferiorly from the condyle tip on the lateral face of the ramus. (Unordered). States: Weak/absent (0); Clearly defined (1)",,
389,Crista endocondyloidea relief on the medial face of the ramus,Mandible,CR,D,UM,PHY,,UBERON:0001684,"The development of crista endocondyloidea, a ridge that extends inferiorly from the condyle tip on the medial face of the ramus.",2,Weak/absent (0); Clearly defined (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The development of crista endocondyloidea, a ridge that extends inferiorly from the condyle tip on the medial face of the ramus. (Unordered). States: Weak/absent (0); Clearly defined (1)",,
390,Crista endocondyloidea orientation,Mandible,CR,D,UM,PHY,,UBERON:0001684,The orientation of crista endocondyloidea on the medial face of the ramus.,2,Oblique (0); Diagonal (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of crista endocondyloidea on the medial face of the ramus. (Unordered). States: Oblique (0); Diagonal (1),,
391,Position of the junction between the mandibular notch and the condyle articular surface,Mandible,CR,D,UM,PHY,,UBERON:0001684,The position of the condyle articular surface relative to the mandibular notch.,2,Lateral (0); Medial (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the condyle articular surface relative to the mandibular notch. (Unordered). States: Lateral (0); Medial (1),,
392,Position of the deepest point of the mandibular notch,Mandible,CR,D,UM,PHY,,UBERON:0001684,The position of the deepest point of the mandibular notch.,2,Centered (0); Condylar (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the deepest point of the mandibular notch. (Unordered). States: Centered (0); Condylar (1),,
393,Crest of the mandibular notch,Mandible,CR,D,OM,PHY,,UBERON:0001684,The position of the crest on the mandibular notch,2,Lateral edge of condyle (0); Less lateral (1); Less than a third of distance from medial end (2); Medial end (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the crest on the mandibular notch. (Ordered). States: Lateral edge of condyle (0); Less lateral (1); Less than a third of distance from medial end (2); Medial end (3),,
394,Planum triangulare size,Mandible,CR,D,OM,PHY,,UBERON:0001684,The development of planum triangulare defined by the internal coronoid pillar and the crista endocondyloidea,4,Weakly developed (0); Intermediate (1); Strongly developed (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of planum triangulare defined by the internal coronoid pillar and the crista endocondyloidea. (Ordered). States: Weakly developed (0); Intermediate (1); Strongly developed (2),,
395,Planum triangulare depth,Mandible,CR,D,OM,PHY,,UBERON:0001684,The depth of planum triangulare.,3,Flat (0); Shallow (1); Deep (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The depth of planum triangulare. (Ordered). States: Flat (0); Shallow (1); Deep (2),,
396,Condyle height relative to the coronoid,Mandible,CR,D,OM,PHY,,UBERON:0001684,The height of mandibular condyle relative to the coronoid.,3,Lower (0); Equal (1); Higher (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The height of mandibular condyle relative to the coronoid. (Ordered). States: Lower (0); Equal (1); Higher (2),,
397,Lateral condylar tubercle development,Mandible,CR,D,OM,PHY,,UBERON:0001684,The development of lateral condylar tubercle.,3,No tubercle (0); Swelling under lateral lip (1); Laterally projected tubercle (2); Strongly projected tubercle (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of lateral condylar tubercle. (Ordered). States: No tubercle (0); Swelling under lateral lip (1); Laterally projected tubercle (2); Strongly projected tubercle (3),,
398,Fossa subcondylea depth,Mandible,CR,D,OM,PHY,,UBERON:0001684,The depth of subcondylar fossa.,4,Flat (0); Shallow (1); Deep (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The depth of subcondylar fossa. (Ordered). States: Flat (0); Shallow (1); Deep (2),,
399,Fossa subcondylea development,Mandible,CR,D,OM,PHY,,UBERON:0001684,The development of subcondylar fossa.,3,Weakly developed (0); Intermediate (1); Strongly developed (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of subcondylar fossa. (Ordered). States: Weakly developed (0); Intermediate (1); Strongly developed (2),,
400,Mandibular foramen shape,Mandible,CR,D,UM,PHY,,UBERON:0001684,The shape of the mandibular canal opening.,3,Oval (0); Circular (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The shape of the mandibular canal opening. (Unordered). States: Oval (0); Circular (1),,
401,Lingula mandibulae,Mandible,CR,D,UM,PHY,,UBERON:0001684,"The presence of lingula mandibulae, a projection of the edge of the mandibular foramen.",2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The presence of lingula mandibulae, a projection of the edge of the mandibular foramen. (Unordered). States: Absent (0); Present (1)",,
402,Mylohyoid line orientation,Mandible,CR,D,UM,PHY,,UBERON:0001684,The orientation of the mylohyoid line that crosses the medial corpus surface.,2,Parallel (0); Inclined (1); Diagonal (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of the mylohyoid line that crosses the medial corpus surface. (Unordered).States: Parallel (0); Inclined (1); Diagonal (2),,
403,Mylohyoid line position,Mandible,CR,D,OM,PHY,,UBERON:0001684,The position of mylohyoid line at M3,3,Low (0); Intermediate (1); High (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of mylohyoid line at M3. (Ordered). States: Low (0); Intermediate (1); High (2),,
404,Mylohyoid groove orientation,Mandible,CR,D,UM,PHY,,UBERON:0001684,The orientation of the mylohyoid groove on the medial surface of the ramus.,3,Inclined (0); Diagonal (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of the mylohyoid groove on the medial surface of the ramus. (Unordered). States: Inclined (0); Diagonal (1),,
405,Bony bridge in mylohyoid groove,Mandible,CR,D,UM,PHY,,UBERON:0001684,The presence of a body bridge in mylohyoid groove.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a body bridge in mylohyoid groove. (Unordered). States: Absent (0); Present (1),,
406,Fossa masseterica depth,Mandible,CR,D,OM,PHY,,UBERON:0001684,The depth of masseteric fossa on the lateral surface of the gonial angle.,2,Flat (0); Shallow (1); Deep (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The depth of masseteric fossa on the lateral surface of the gonial angle. (Ordered). States: Flat (0); Shallow (1); Deep (2),,
407,Gonial profile,Mandible,CR,D,UM,PHY,,UBERON:0001684,The profile of the posteroinferior corner of the mandible in norma lateralis.,3,Not truncated (0); Truncated (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The profile of the posteroinferior corner of the mandible in norma lateralis. (Unordered). States: Not truncated (0); Truncated (1),,
408,Pterygoid fossa depth,Mandible,CR,D,UM,PHY,,UBERON:0001684,The depth of pterygoid fossa.,2,Shallow (0); Deep (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The depth of pterygoid fossa. (Unordered). States: Shallow (0); Deep (1),,
409,Canine size increase ,Canine,DEN,C,,TAX,D,,upper and lower canines are larger relative to postcanine teeth (distinction from other hominins) ,2,,White et al. 1994 ,,,,
410,"dM1 cusp size, shape, and location",Molar,DEN,C,,TAX,D,UBERON:0003655,"narrow and obliquely elongated, with a large protoconid and small, distally place metaconid (distinction from other hominins) ",,,White et al. 1994 ,,,,
411,Temporomandibular joint ,Mandible,CR,D,,TAX,D,UBERON:0001684,lacks a definable articular eminence (distinction from other hominins) ,,,White et al. 1994 ,,,,
412,P3 symmetry ,Premolar,DEN,C,,TAX,D,UBERON:0007120,"BOTH upper and lower third premolars are more strongly asymmetrical, featuring a dominant, tall buccal cusp (distinction from other hominins) ",,,White et al. 1994 ,,,,
